trip_id,start_time,end_time,headway_secs
m147b-down,00:00:00,23:59:59,900
m21g-up,00:00:00,23:59:59,900
m21g-down,00:00:00,23:59:59,900
t21-up,00:00:00,23:59:59,900
t21-down,00:00:00,23:59:59,900
m46-up,00:00:00,23:59:59,900
m46-down,00:00:00,23:59:59,900
s579a-up,00:00:00,23:59:59,900
s579a-down,00:00:00,23:59:59,900
s515-up,00:00:00,23:59:59,960
s515-down,00:00:00,23:59:59,960
s554-up,00:00:00,23:59:59,960
s554-down,00:00:00,23:59:59,960
s7h-up,00:00:00,23:59:59,960
s7h-down,00:00:00,23:59:59,960
5c-up,00:00:00,23:59:59,960
5c-down,00:00:00,23:59:59,960
25g-up,00:00:00,23:59:59,960
25g-down,00:00:00,23:59:59,960
5b-up,00:00:00,23:59:59,960
5b-down,00:00:00,23:59:59,960
7g-up,00:00:00,23:59:59,960
7g-down,00:00:00,23:59:59,960
11h-up,00:00:00,23:59:59,960
11h-down,00:00:00,23:59:59,960
m51e-up,00:00:00,23:59:59,960
m51e-down,00:00:00,23:59:59,960
s23c-up,00:00:00,23:59:59,960
s23c-down,00:00:00,23:59:59,960
s583-up,00:00:00,23:59:59,960
s583-down,00:00:00,23:59:59,960
sm70-up,00:00:00,23:59:59,1020
sm70-down,00:00:00,23:59:59,1020
21g-up,00:00:00,23:59:59,1020
21g-down,00:00:00,23:59:59,1020
28b-up,00:00:00,23:59:59,1020
28b-down,00:00:00,23:59:59,1020
46g-up,00:00:00,23:59:59,1020
46g-down,00:00:00,23:59:59,1020
24a-up,00:00:00,23:59:59,1020
24a-down,00:00:00,23:59:59,1020
65b-up,00:00:00,23:59:59,1020
65b-down,00:00:00,23:59:59,1020
12b-up,00:00:00,23:59:59,1020
12b-down,00:00:00,23:59:59,1020
28-up,00:00:00,23:59:59,1020
28-down,00:00:00,23:59:59,1020
49a-up,00:00:00,23:59:59,1020
49a-down,00:00:00,23:59:59,1020
m38h-up,00:00:00,23:59:59,1020
m38h-down,00:00:00,23:59:59,1020
m70-up,00:00:00,23:59:59,1020
m70-down,00:00:00,23:59:59,1020
s54-up,00:00:00,23:59:59,1020
s54-down,00:00:00,23:59:59,1020
sa1-up,00:00:00,23:59:59,1020
sa1-down,00:00:00,23:59:59,1020
70a70-up,00:00:00,23:59:59,1020
70a70-down,00:00:00,23:59:59,1020
m46g-up,00:00:00,23:59:59,1020
m46g-down,00:00:00,23:59:59,1020
m64c-up,00:00:00,23:59:59,1080
m64c-down,00:00:00,23:59:59,1080
s37g-up,00:00:00,23:59:59,1080
s37g-down,00:00:00,23:59:59,1080
32b-up,00:00:00,23:59:59,1080
32b-down,00:00:00,23:59:59,1080
m147c-up,00:00:00,23:59:59,1080
m147c-down,00:00:00,23:59:59,1080
m5-up,00:00:00,23:59:59,1080
m5-down,00:00:00,23:59:59,1080
15f-up,00:00:00,23:59:59,1080
15f-down,00:00:00,23:59:59,1080
m170c-up,00:00:00,23:59:59,1080
m170c-down,00:00:00,23:59:59,1080
m22-up,00:00:00,23:59:59,1080
m22-down,00:00:00,23:59:59,1080
p57f-up,00:00:00,23:59:59,1080
p57f-down,00:00:00,23:59:59,1080
15f-up,00:00:00,23:59:59,1080
15f-down,00:00:00,23:59:59,1080
22-up,00:00:00,23:59:59,1080
22-down,00:00:00,23:59:59,1080
s1b-up,00:00:00,23:59:59,1140
s1b-down,00:00:00,23:59:59,1140
s49a-up,00:00:00,23:59:59,1140
s49a-down,00:00:00,23:59:59,1140
s500-up,00:00:00,23:59:59,1140
s500-down,00:00:00,23:59:59,1140
s597-up,00:00:00,23:59:59,1140
s597-down,00:00:00,23:59:59,1140
m15-up,00:00:00,23:59:59,1140
m15-down,00:00:00,23:59:59,1140
159b-up,00:00:00,23:59:59,1140
159b-down,00:00:00,23:59:59,1140
t51-up,00:00:00,23:59:59,1140
t51-down,00:00:00,23:59:59,1140
s242-up,00:00:00,23:59:59,1140
s242-down,00:00:00,23:59:59,1140
s27c-up,00:00:00,23:59:59,1140
s27c-down,00:00:00,23:59:59,1140
m159b-up,00:00:00,23:59:59,1140
m159b-down,00:00:00,23:59:59,1140
s28-up,00:00:00,23:59:59,1200
s28-down,00:00:00,23:59:59,1200
s29a-up,00:00:00,23:59:59,1200
s29a-down,00:00:00,23:59:59,1200
114-up,00:00:00,23:59:59,1200
114-down,00:00:00,23:59:59,1200
18a-up,00:00:00,23:59:59,1200
18a-down,00:00:00,23:59:59,1200
114cu-up,00:00:00,23:59:59,1200
114cu-down,00:00:00,23:59:59,1200
56p-up,00:00:00,23:59:59,1200
56p-down,00:00:00,23:59:59,1200
m147a-up,00:00:00,23:59:59,1200
m147a-down,00:00:00,23:59:59,1200
m164-up,00:00:00,23:59:59,1200
m164-down,00:00:00,23:59:59,1200
m27-up,00:00:00,23:59:59,1200
m27-down,00:00:00,23:59:59,1200
m51a-up,00:00:00,23:59:59,1200
m51a-down,00:00:00,23:59:59,1200
m52-up,00:00:00,23:59:59,1200
m52-down,00:00:00,23:59:59,1200
m55a-up,00:00:00,23:59:59,1200
m55a-down,00:00:00,23:59:59,1200
21d-up,00:00:00,23:59:59,1200
21d-down,00:00:00,23:59:59,1200
7h-up,00:00:00,23:59:59,1200
7h-down,00:00:00,23:59:59,1200
m118-up,00:00:00,23:59:59,1200
m118-down,00:00:00,23:59:59,1200
m38c-up,00:00:00,23:59:59,1200
m38c-down,00:00:00,23:59:59,1200
m51g-up,00:00:00,23:59:59,1200
m51g-down,00:00:00,23:59:59,1200
m9m-up,00:00:00,23:59:59,1200
m9m-down,00:00:00,23:59:59,1200
s6d-up,00:00:00,23:59:59,1200
s6d-down,00:00:00,23:59:59,1200
s7m-up,00:00:00,23:59:59,1200
s7m-down,00:00:00,23:59:59,1200
sb51-up,00:00:00,23:59:59,1200
sb51-down,00:00:00,23:59:59,1200
sd18-up,00:00:00,23:59:59,1200
sd18-down,00:00:00,23:59:59,1200
51a-up,00:00:00,23:59:59,1200
51a-down,00:00:00,23:59:59,1200
55a-up,00:00:00,23:59:59,1200
55a-down,00:00:00,23:59:59,1200
s566a-up,00:00:00,23:59:59,1260
s566a-down,00:00:00,23:59:59,1260
13-up,00:00:00,23:59:59,1260
13-down,00:00:00,23:59:59,1260
62a-up,00:00:00,23:59:59,1260
62a-down,00:00:00,23:59:59,1260
m62a-up,00:00:00,23:59:59,1260
m62a-down,00:00:00,23:59:59,1260
11a-up,00:00:00,23:59:59,1320
11a-down,00:00:00,23:59:59,1320
p56d-up,00:00:00,23:59:59,1320
p56d-down,00:00:00,23:59:59,1320
pp19-up,00:00:00,23:59:59,1320
pp19-down,00:00:00,23:59:59,1320
242-up,00:00:00,23:59:59,1320
242-down,00:00:00,23:59:59,1320
g70-up,00:00:00,23:59:59,1320
g70-down,00:00:00,23:59:59,1320
71e-up,00:00:00,23:59:59,1320
71e-down,00:00:00,23:59:59,1320
c70-up,00:00:00,23:59:59,1320
c70-down,00:00:00,23:59:59,1320
m65b-up,00:00:00,23:59:59,1320
m65b-down,00:00:00,23:59:59,1320
m88c-up,00:00:00,23:59:59,1320
m88c-down,00:00:00,23:59:59,1320
54-up,00:00:00,23:59:59,1320
54-down,00:00:00,23:59:59,1320
s583a-up,00:00:00,23:59:59,1380
s583a-down,00:00:00,23:59:59,1380
62-up,00:00:00,23:59:59,1380
62-down,00:00:00,23:59:59,1380
m116a-up,00:00:00,23:59:59,1380
m116a-down,00:00:00,23:59:59,1380
m15fcu-up,00:00:00,23:59:59,1380
m15fcu-down,00:00:00,23:59:59,1380
s47a-up,00:00:00,23:59:59,1440
s47a-down,00:00:00,23:59:59,1440
sm147c-up,00:00:00,23:59:59,1440
sm147c-down,00:00:00,23:59:59,1440
15b-up,00:00:00,23:59:59,1440
15b-down,00:00:00,23:59:59,1440
m53e-up,00:00:00,23:59:59,1440
m53e-down,00:00:00,23:59:59,1440
17e-up,00:00:00,23:59:59,1440
17e-down,00:00:00,23:59:59,1440
k18-up,00:00:00,23:59:59,1440
k18-down,00:00:00,23:59:59,1440
19b-up,00:00:00,23:59:59,1440
19b-down,00:00:00,23:59:59,1440
m253-up,00:00:00,23:59:59,1440
m253-down,00:00:00,23:59:59,1440
s166-up,00:00:00,23:59:59,1440
s166-down,00:00:00,23:59:59,1440
s57f-up,00:00:00,23:59:59,1440
s57f-down,00:00:00,23:59:59,1440
m20e-up,00:00:00,23:59:59,1440
m20e-down,00:00:00,23:59:59,1440
s147c-up,00:00:00,23:59:59,1440
s147c-down,00:00:00,23:59:59,1440
s12b-up,00:00:00,23:59:59,1500
s12b-down,00:00:00,23:59:59,1500
s170-up,00:00:00,23:59:59,1500
s170-down,00:00:00,23:59:59,1500
21h-up,00:00:00,23:59:59,1500
21h-down,00:00:00,23:59:59,1500
6a-up,00:00:00,23:59:59,1500
6a-down,00:00:00,23:59:59,1500
b70-up,00:00:00,23:59:59,1500
b70-down,00:00:00,23:59:59,1500
m18c-up,00:00:00,23:59:59,1500
m18c-down,00:00:00,23:59:59,1500
m45a-up,00:00:00,23:59:59,1500
m45a-down,00:00:00,23:59:59,1500
17mcu-up,00:00:00,23:59:59,1500
17mcu-down,00:00:00,23:59:59,1500
17m-up,00:00:00,23:59:59,1500
17m-down,00:00:00,23:59:59,1500
52b-up,00:00:00,23:59:59,1500
52b-down,00:00:00,23:59:59,1500
7m-up,00:00:00,23:59:59,1500
7m-down,00:00:00,23:59:59,1500
m27l-up,00:00:00,23:59:59,1500
m27l-down,00:00:00,23:59:59,1500
m29b-up,00:00:00,23:59:59,1500
m29b-down,00:00:00,23:59:59,1500
m54a-up,00:00:00,23:59:59,1500
m54a-down,00:00:00,23:59:59,1500
m55ext-up,00:00:00,23:59:59,1500
m55ext-down,00:00:00,23:59:59,1500
m66-up,00:00:00,23:59:59,1500
m66-down,00:00:00,23:59:59,1500
s47d-up,00:00:00,23:59:59,1500
s47d-down,00:00:00,23:59:59,1500
34-up,00:00:00,23:59:59,1500
34-down,00:00:00,23:59:59,1500
52b-up,00:00:00,23:59:59,1500
52b-down,00:00:00,23:59:59,1500
m70v-up,00:00:00,23:59:59,1500
m70v-down,00:00:00,23:59:59,1500
m23-up,00:00:00,23:59:59,1560
m23-down,00:00:00,23:59:59,1560
s15g-up,00:00:00,23:59:59,1560
s15g-down,00:00:00,23:59:59,1560
m70-up,00:00:00,23:59:59,1560
m70-down,00:00:00,23:59:59,1560
159-up,00:00:00,23:59:59,1620
159-down,00:00:00,23:59:59,1620
15f-up,00:00:00,23:59:59,1620
15f-down,00:00:00,23:59:59,1620
88k-up,00:00:00,23:59:59,1620
88k-down,00:00:00,23:59:59,1620
c51-up,00:00:00,23:59:59,1620
c51-down,00:00:00,23:59:59,1620
12-up,00:00:00,23:59:59,1620
12-down,00:00:00,23:59:59,1620
44a-up,00:00:00,23:59:59,1620
44a-down,00:00:00,23:59:59,1620
24c-up,00:00:00,23:59:59,1620
24c-down,00:00:00,23:59:59,1620
s1a-up,00:00:00,23:59:59,1620
s1a-down,00:00:00,23:59:59,1620
s266-up,00:00:00,23:59:59,1620
s266-down,00:00:00,23:59:59,1620
s40a-up,00:00:00,23:59:59,1620
s40a-down,00:00:00,23:59:59,1620
s13-up,00:00:00,23:59:59,1680
s13-down,00:00:00,23:59:59,1680
45b-up,00:00:00,23:59:59,1680
45b-down,00:00:00,23:59:59,1680
m19-up,00:00:00,23:59:59,1680
m19-down,00:00:00,23:59:59,1680
m53-up,00:00:00,23:59:59,1680
m53-down,00:00:00,23:59:59,1680
m12c-up,00:00:00,23:59:59,1680
m12c-down,00:00:00,23:59:59,1680
pp57f-up,00:00:00,23:59:59,1680
pp57f-down,00:00:00,23:59:59,1680
53-up,00:00:00,23:59:59,1680
53-down,00:00:00,23:59:59,1680
88c-up,00:00:00,23:59:59,1680
88c-down,00:00:00,23:59:59,1680
12c-up,00:00:00,23:59:59,1680
12c-down,00:00:00,23:59:59,1680
s27h-up,00:00:00,23:59:59,1680
s27h-down,00:00:00,23:59:59,1680
101-up,00:00:00,23:59:59,1740
101-down,00:00:00,23:59:59,1740
1c-up,00:00:00,23:59:59,1740
1c-down,00:00:00,23:59:59,1740
s101-up,00:00:00,23:59:59,1740
s101-down,00:00:00,23:59:59,1740
s114-up,00:00:00,23:59:59,1740
s114-down,00:00:00,23:59:59,1740
s525-up,00:00:00,23:59:59,1740
s525-down,00:00:00,23:59:59,1740
s592-up,00:00:00,23:59:59,1740
s592-down,00:00:00,23:59:59,1740
s517-up,00:00:00,23:59:59,1800
s517-down,00:00:00,23:59:59,1800
153-up,00:00:00,23:59:59,1800
153-down,00:00:00,23:59:59,1800
44b-up,00:00:00,23:59:59,1800
44b-down,00:00:00,23:59:59,1800
71d-up,00:00:00,23:59:59,1800
71d-down,00:00:00,23:59:59,1800
m18-up,00:00:00,23:59:59,1800
m18-down,00:00:00,23:59:59,1800
m53g-up,00:00:00,23:59:59,1800
m53g-down,00:00:00,23:59:59,1800
66-up,00:00:00,23:59:59,1800
66-down,00:00:00,23:59:59,1800
m17-up,00:00:00,23:59:59,1800
m17-down,00:00:00,23:59:59,1800
m19b-up,00:00:00,23:59:59,1800
m19b-down,00:00:00,23:59:59,1800
m42b-up,00:00:00,23:59:59,1800
m42b-down,00:00:00,23:59:59,1800
m57-up,00:00:00,23:59:59,1800
m57-down,00:00:00,23:59:59,1800
s17e-up,00:00:00,23:59:59,1800
s17e-down,00:00:00,23:59:59,1800
s570-up,00:00:00,23:59:59,1800
s570-down,00:00:00,23:59:59,1800
572-up,00:00:00,23:59:59,1800
572-down,00:00:00,23:59:59,1800
17-up,00:00:00,23:59:59,1800
17-down,00:00:00,23:59:59,1800
53g-up,00:00:00,23:59:59,1800
53g-down,00:00:00,23:59:59,1800
sm27h-up,00:00:00,23:59:59,1920
sm27h-down,00:00:00,23:59:59,1920
st151-up,00:00:00,23:59:59,1920
st151-down,00:00:00,23:59:59,1920
17m-up,00:00:00,23:59:59,1920
17m-down,00:00:00,23:59:59,1920
1-up,00:00:00,23:59:59,1920
1-down,00:00:00,23:59:59,1920
40a-up,00:00:00,23:59:59,1920
40a-down,00:00:00,23:59:59,1920
s549-up,00:00:00,23:59:59,1920
s549-down,00:00:00,23:59:59,1920
s566-up,00:00:00,23:59:59,1920
s566-down,00:00:00,23:59:59,1920
s599-up,00:00:00,23:59:59,1920
s599-down,00:00:00,23:59:59,1920
s70a70-up,00:00:00,23:59:59,1920
s70a70-down,00:00:00,23:59:59,1920
m114cu-up,00:00:00,23:59:59,1920
m114cu-down,00:00:00,23:59:59,1920
s46-up,00:00:00,23:59:59,1980
s46-down,00:00:00,23:59:59,1980
29e-up,00:00:00,23:59:59,1980
29e-down,00:00:00,23:59:59,1980
t1-up,00:00:00,23:59:59,1980
t1-down,00:00:00,23:59:59,1980
m28-up,00:00:00,23:59:59,1980
m28-down,00:00:00,23:59:59,1980
